,Komentar,jumlahlike,tanggal,waktu,komentator,Sentiment
3022,pemeriksaan amp penanganan medis hrs full gratis ke semua golongan masyarakat spy penyebaran korona bisa ditekan secepatnya,0.0,2020-03-02,22:32:36,budiartobudiarto905,neutral
3023,masuk deh ke indonesia gara2 gak stop org asing wisata ke indo tepok jidat,0.0,2020-03-02,22:28:36,m.r8216,neutral
3024,dokternya gak nanyaa itu habis berpergian kemana aja kontak dengan siapa aja jadi gk ngehh kalo corona mewabah 1 karna banyaknya pasien 2 diagnosa kadang sudah sesuai dengan tanda nya cuma memang corona yang virus jenis baru jadi kurang update dr nya,0.0,2020-03-02,22:28:02,sellafebriana1498,negative
3025,pesta dansa itu katanya di jakaa masalahnya di daerah mana pasti orang jepang itu selaman beberapa orang harus di periksa jugatuh,0.0,2020-03-02,22:25:07,animulovers3881,neutral
3026,pesta dansa brongkitis,0.0,2020-03-02,22:22:28,bacodtutorial2323,positive
3027,membesar besarkan beritainsyaallah yg terinfeksi asal asupan makan cukup sea istrht dan byk kena chy matahari sea minum obat yg dianjurkan dokter yg jelas emang asing itu yg bawa virus,4.0,2020-03-02,22:22:06,elektronikmasakini9611,neutral
3028,udh nyebar ni mah euy,0.0,2020-03-02,22:12:35,rahmanmitha1020,negative
3029,jadi simple aja lebih takutlah kepada allah daripada makhkuk,4.0,2020-03-02,22:12:20,ryp1405,positive
3030,gue masih penasaran kan wn jepang kena virus corona setelah menghadiri pesta dansa ya yg menjadi peanyaan gua apakah wn jepang itu teular corona di pesta dansa itu atau sebelumnya dia di malaysia sudah teular korona tapi airpo kita belum bisa mendetksi wna yang datang ke indonesia kalo pun wn jepang teular coroma di pesta dansa siapakah org yg menularkan virus kepada wn jepang apakah dia ada di pesta dansa tersebut kalo pun ada berai 1 orang yg diruangan pesta dansa tersebut pasti bakalan terkena,0.0,2020-03-02,22:06:58,aulyafajarramadhan9249,neutral
3031,parah positif corona bilangnya bronkitis ntar orang mual2 bilangnya masuk angin tau nya bunting,0.0,2020-03-02,22:03:44,daniprast8943,negative
3032,pesta dansa,0.0,2020-03-02,22:02:22,dikiahmad2389,positive
3033,yaelaah masih pakek cek laboratorium di luar negeri aja sudah pakek alat yang hanya 5 detik bisa di ketahui itu corona apa bukan nicelah indonesia,6.0,2020-03-02,21:55:54,haricahyono4644,neutral
3034,masa informasi dari mana link,0.0,2020-03-03,00:06:48,jesse1963,neutral
3035,harus ambil sampel darah pak mas bambang yg 5 detik itu alat pengukur suhu,2.0,2020-03-04,02:01:35,mozamikeneko5014,positive
3036,ga mungkinlah lihat video yutub lain bahkan amerika butuh 4000 dolar per pasien utk di deteksi sedang korsel butuh 1600 dolar utk deteksi dan itu ga dlm hitungan jam aplg detik bbrp hari,1.0,2020-03-04,15:14:15,nunungnuraini4307,neutral
3037,yg ikut pesta dansa mati kabehhh,0.0,2020-03-02,21:50:40,adekosasi3551,negative
3038,kok belibet sekali menejalaskan di layarnya,0.0,2020-03-02,21:28:57,abbilio9631,negative
3039,kenapa baru di malaysia ketahuan nya apa bener indonesia blom ketet terhadap virus corona ini,1.0,2020-03-02,21:27:40,victaoctavia4933,neutral
3040,org jepang pesta dansa di jakaa kmudian org jepangx balik ke malaysia kebetulan dsna kerjax kemudian org jepang ini sakit dsna,0.0,2020-03-03,08:06:45,yudikyudyk5808,neutral
3041,tapi kan stiap bandara ada pencekan suhu,0.0,2020-03-03,08:16:03,victaoctavia4933,neutral
3042,knp virus korona tidak di indonesia karena penduduknya mayotitas perokok jadi virusnya kena as ap rokok mati,0.0,2020-03-02,21:23:35,leandraalan,neutral
3043,kek apa si muka orang jepangnya pengen gue tampol dah tau lg heboh corona e dia keluar masuk negara orang aja tunda dulu kek,0.0,2020-03-02,21:16:46,haryyanto2572,negative
3044,semoga pemerintah bagi bagi masker ke rakyatnya gag bakal rugi juga,0.0,2020-03-02,21:16:18,sambelterasi4860,positive
3045,belum 39 tentu 39 dr 39 org 39 japan 39 itu 39 dr 39 org 39 lain 39 jg 39 bs 39 tentu 39 kalau 39 dgn 39 org 39 japan 39 sering 39 sm 39 sm 39 kena rasain 39 sd,0.0,2020-03-02,21:09:03,シルティニングシィ,negative
3046,rawat jalan belum ketauan juga,0.0,2020-03-02,21:00:44,ahmadyana7644,positive
3047,kenapa masker jadi langka ya ane habis ke k24 dibilang habis keterlaluan,2.0,2020-03-02,20:57:39,sambelterasi4860,neutral
3048,alloh mah maha adil syukuri aja bener kan dansa mala petaka celaka,0.0,2020-03-02,20:51:23,yogisancang,positive
3049,tembak mati aja,0.0,2020-03-02,20:47:38,massradenn3543,negative
3050,dansa ala orang barat,0.0,2020-03-02,20:45:06,susisusi7179,neutral
3051,virus ni asymptomatic bisa menyebar tanpa gejala berita terbaru mengatakan butuh 24 hari virus ini untuk dapat berinkubasi di tubuh mnusiajika satu orang terinfeksi virus bisa memyebar smpai 14 orang di sekitarnyamenjaga imunitas tubuh diisukan mampu menangkal virus ini namun apa mau dikata ternyata virus ini dapat menginfeksi quot lagi quot pada orang yang sudah terinfeksi sebelumnya dengan gejala yang lebih fatal akibatnya kematian virus ini airborne mwnyebar melalui udara dapat menempel pada benda mati dalam rentang wktu 5 7 hariberita terkini mengatakan bahwa yang mudah terkena virus ini adalah lelaki peroko seorang dengn imunitas yang lemah dan para penderita beberapa penyakit beratbila menginfeksi seorang lelaki dan lelaki tersebut dapat sembuh virus ini dapat menyebabkan infeility alias mandulsaya lihat duluu waktu awal2 muncul banyak candaan berseliweran di komen section di youtube mengenai corona virus gak bermaksud menyalahkan akan tetapi ayolah kawan jangn menyepelekan yang sampai who pun mendeklarasikan wabah ini sebagai darurat internasionalbukan tidak mungkin indonesia akan sama sepei cina karena masyarakatnya saja menyepelekan belom lagi pemerintah yang kurang dalam menangani virus corona mendekam di rumah membatasi kontak apapun dengan orang lain menyediakan bahan pangan obat dan survival kit lainnya sebanyak banyaknya di rumah sea menjaga imunitas tubuh itulah yang perlu dilakukan juga bnyak bnyak berdoa,1.0,2020-03-02,20:35:42,rebahanonline5488,neutral
3052,lathifah istiqomah yaallah seremm bgt,0.0,2020-03-02,20:40:11,lndryareva7685,negative
3053,hati2 parah wanita panggilan melayani tamu dr negara asing,1.0,2020-03-02,20:33:16,abdoel614,negative
3054,pakar2 luar negri amp who udh peringatkn indonesia dan ternyata omongan mereka benar ada nya,0.0,2020-03-02,20:30:51,R-dheMv,positive
3055,kok g bisa ya dokter kita g bisa tau kl dia demam corona,0.0,2020-03-02,20:26:21,zainalajalah9958,negative
3056,2 warga interaksi dgn dokter dan suster yang tanpa alat pelindung kemudian si dokter dalam perjalanan pulang kerumah berinteraksi dgn anak dan istri si anak berinteraksi dgn teman2nya si istri berinteraksi dgn para pedagang sayuran dan tetangga dan seterusnya dan seterusnya hhmmmm,8.0,2020-03-02,20:24:10,mydream2962,positive
3057,up,0.0,2020-03-06,13:01:26,trisetyarahdani1398,negative
3058,ini kantor berita amerika sumber fitnah di selandia baru ada korban corona virus naik etihad dari iran dan transit di bali sampai di auckland airpo selandia baru si korban di nyatakan negatif lalu di jemput keluarga 2 hari kemudian kembali ke clinic dan di nyatakan positif sekarang pempus selandia baru menyatakan ada 145 org suspect setelah org ini ketahuan kena corona virus kurang canggih spt apa selandia baru itu tapi kenapa kok bisa waktu mendarat di nyatakan negatif tapi 2 hari kemudian jadi positif,0.0,2020-03-02,20:23:49,johndharmawan8285,neutral
3059,payah ni ternyata lolos juga,0.0,2020-03-02,20:21:29,zainalajalah9958,negative
3060,ya udah lah takdir allaahh x udah waktunyah kita di tuntut sang penycipta semsta tinggal kita taubat nyah sesuay kprcayan keyakinan masing2,0.0,2020-03-02,20:18:24,romiyatiromiyati394,positive
3061,untung orang jepang nya tlp si warga depok kalau gak ditlp ya bronchitis diagnosanya,0.0,2020-03-02,20:14:12,BillMintjeHD-Brussels-Belgium,negative
3062,deket banget rumah di depok studio alam,1.0,2020-03-02,20:13:59,adnanchannel8753,neutral
3063,akhir nya who bisa lebih di percaya pdhl kemarin gw kubur dlm dlm istilah pinikio gw gagal maneng percaya ma pinokio hadewwwwwwe,3.0,2020-03-02,20:05:16,dimasaryasentosa9312,negative
3064,seandainya org jepang gk nelpon org yg di depok mungkin msh di kasih obat bronkitis,0.0,2020-03-02,20:00:59,neni8767,negative
3065,entah ini salah siapa wni yg ada di luar negeri ketika pulang ke indonesia di bawa ke natuna dan pulau sebaru yg jauh dari padat penduduk tp di bandara org dari luar di biarin masuk ke indonesia dgn bebas sampai2 2 org warga depok positif corona klau sdh spei ini pasti gak ada yg mau disalahin mau ngomel2 juga takut ntar gimana2 yah semoga pihak2 yg terkait bisa menjalankan tugasnya dgn baik fasilitas kesehatan tolong di perbaiki dan juga sdm biar gak ada lg salah diagnosa krn jgnkan diagnosa virus corona diagnosa kanker ajah masih suka salah,28.0,2020-03-02,19:57:45,bebyasvita3369,negative
3066,soal penegakan diagnosa panjang penjelasannya ingat dunia ini nggak sesimpel hitam atau putih salah atau benar pasti ada abu diantaranya yg selalu kita abaikanpoin saya disini sebagai contoh hasil diagnosa dokternay itu nggk sepenuhnya salah karna gejala bronkitis dgn covid 19 ini mirip,0.0,2020-03-05,18:06:27,anggarosadi2382,positive
3067,ribet amat si mba gara quot gesek quot tu layar,0.0,2020-03-02,19:54:28,ilhamriandes6898,negative
3068,waktu keluar gejala virus corona orang jepang dan depok hampir bersamaan apa ada kemungkinan mereka ditularin virus sama yang lain,0.0,2020-03-02,19:51:25,wihonghuang864,negative
3069,boleh percaya atau tidak salah satu therapi penyembuhan corona terampuh adalah mempersering mandi menyelam air laut mudah2an komentar ini bermanfaat salam cinta,0.0,2020-03-02,19:50:55,googleindonesia6507,positive
3070,saat tanggal 14 februari bisa saja menularkan ke orang lain yang ada di pesta tersebut saat tanggal 16 februari melakukan pemeriksaan ke rs dan dsni kita tau bahwa pasien batuk batuk besar kemungkinan pasien ini bisa menularkan ke orang sekitar yang ada di rs tersebut,0.0,2020-03-02,19:49:19,yulipurniawati4900,neutral
3071,gimana dengan rakyat kecil klau kena corona apa pemerintahan mau tanggung jawab,30.0,2020-03-02,19:46:43,sawiyahserang25,negative
3072,nah ini berobat aja mahal gmn mau cek mereka apakah terdampak penyakit,3.0,2020-03-03,04:47:35,ML-wk3st,neutral
3073,sepeinya pengobatannya gratis soalnya kalau dibiarkan nanti yang lain juga kena,4.0,2020-03-03,05:05:21,farhan546,neutral
3074,katanya sih ditanggung pemerintah,4.0,2020-03-03,23:43:34,pittasanusi3911,neutral
3075,tapi di amerika cek virus corona bisa 4jt korea 1 5 jt kata mas hansol emangnya mungkin di indo gratis,2.0,2020-03-04,03:27:40,inayahindahpratiwi861,neutral
3076,inayahindahpratiwi861 memang biayanya mahal tapi bukan dari pasien dari pemerintah buktinya semua yg pernah di cek sample darahnya nggak pernah dimintai biaya,2.0,2020-03-04,03:30:25,monsterketek5458,negative
3077,club amigos mampang prapatan itu tempat dansa apa tempat dugem edit penasaran saja saya hehe,0.0,2020-03-02,19:43:49,jalanpintas9773,neutral
3078,gara quot cina,0.0,2020-03-02,19:43:02,sempok7997,negative
3079,korona sudah masuk wilayah indonesia 39 quot 39 wahhhhh gawatttttt ni 39 bisa bisa jadi menular ni gara gara si jepang yg 1 ini,0.0,2020-03-02,19:40:14,ebenelpy1687,neutral
3080,baru peama yang ke lacak kali,0.0,2020-03-02,19:36:45,adenurul6860,neutral
3081,waspada indonesia firus corono 39 sumpah takut banget saya 39 gara gara 1 orang doang 39,0.0,2020-03-02,19:34:03,ebenelpy1687,negative
3082,itu dokter yg peama kali mendiaknosa brokitis juga harus di cek besea staf yg nyatat obat juga kalo ada karna mereka juga melakukan kontak komunikasi langsung sebelumnya sebelum merambah lebih luas lagi,10.0,2020-03-02,19:31:09,zaedmuttaqien3519,neutral
3083,zaed muttaqien up,0.0,2020-03-03,01:23:54,wisnubramandita9133,negative
3084,tukang bakso tukang angkot semuanya di telusuri gan,0.0,2020-03-03,02:12:14,karelmarthinus9211,neutral
3085,kenapa pemerintah ga hold semua turis asing yg masuk ke indo dan org indo yg keluar negeri jangan menyepelekan penyakit kalo penyebaranya meluas kelabakan juga utamakan mencegah drpd mengobati saya sebagai wni terus terang sangat khawatir tolong sampaikan ke pemerintah bahwa pemerintah harus stop wna ke indo dan wni yg mau keluar negeri,4.0,2020-03-02,19:26:01,arbigenandiandalembaba,negative
3086,ribet amat pembawaan beritanya asli,0.0,2020-03-02,19:24:22,ajipurnama8718,neutral
3087,iso quot ne uwong ws terinfeksi iso mlebu indo emg neng bandara ngak di cek,0.0,2020-03-02,19:22:40,ariesgirl_5479,neutral
3088,ini org jpangny co ap ce ya pasangan gt ya ce co,0.0,2020-03-02,19:21:08,sahabatalya_irhab330,neutral
3089,pke pesta pesta dansa segala sukurin semua tempat tempat maksiat pasti gudang nya penyakit,0.0,2020-03-02,19:17:08,anitadubai9598,neutral
3090,itu yg kedeteksi cm 2 dipesta itu ada berapa org sdh berapa org yg bersentuhan dengan org jepang tsb tolong telusuri juga apa aktifitas ibu dan anak ini secara detail pleaseeee indonesia selalu berbudaya jabat tangan dlm setiap awal peemuan tidak menutup kemungkinan seluruh pesea dansa di pesta tersebut rasanya tidak mgkin jika hanya 2 org yg berjabat tangan dengan wna tsb,0.0,2020-03-02,19:15:03,bangndank9323,neutral
3091,tidak semua rumah sakit bisa detect malah salah diagnosa ini kecolongan yang aku resahkan dari awal,5.0,2020-03-02,19:14:29,annelisehouston9413,negative
3092,katanya pak pres tahunya 2orang terkena virus krn penyelidikan tp kok kliatannya krn kesadaran sendiri dr warga depok itu krn hbs tlpn warga jepang yg terkena virus hhhmmmmmm yg benar yg mana ini krn pemerintah apa krn kesadaran sndiri si penderita,18.0,2020-03-02,19:13:55,azzaleashop8667,positive
3093,sepemikiran saya juga mikir gini katanya si jokowi ketauan 2 orang positif itu krna rekam jejak tp rekam jejak apanya org si depok ini kooperatif ko lapor dan periksa sendiri abis itu bener2 di tlp sma temennya si jepang itu,5.0,2020-03-04,16:49:44,syabaniasyifanuramalina6193,negative
3094,sekarang udah menyebar sukabumi cianjur cipanas,0.0,2020-03-04,20:45:11,ريفتريني,neutral
3095,bali juga,0.0,2020-03-05,01:52:06,luckygirl169,positive
3096,orang jepang juga ketauannya gara quot ke malaysia,0.0,2020-03-05,02:08:53,riniagustini5809,negative
3097,dalam medis ada yang namanya anamnesis semacam penyelidikan yg dilakukan petugas medis untuk penentuan penegakan diagnosis pasien salah satu prosesnya itu penyelidikan secara subyektif diperoleh dari percakapan pasien dengan petugas sudah jelas nah menurut saya mungkin petugasnya lupa nanya riwayat sosial pasien atau sudah ditanya dengan peanyaan quot sudah pernah keluar negeri quot dan pasien jawab tidak pernah karena bukan pasiennya yg keluar negeri tapi dia kontak sama wna yg kebetulan terpapar virus makanya diagnosanya bronkitis karna gejalanya memang mirip jadi kesimpulannya penyelidikan subyektif ini melibatkan kedua belah pihak pasien harus detail memberi jawaban petugas harus kritis dalam beanya mungkin waktu itu kalo pasiennya jawab pernah kontak dengan wna sudah dilakukan pengecekan darah di lab sesuai prosedur,0.0,2020-03-05,11:22:49,anggarosadi2382,negative
3098,indonesia harus terima kasih juga ke malaysia untung mereka ngasih tau kalo si wn jepang ini pernah ke indonesia dan akhirnya ditelusuri,77.0,2020-03-02,19:12:22,vanessaniko9755,positive
3099,indonesia kurang bijaksana bro,13.0,2020-03-03,02:27:58,renaldskygaming2110,negative
3100,kalau tak salah isi berita ini pemerintah malaysia tdk ada mmberi tahu justru wna jepang yg mengabari lewat tlpon sehari stelah dia di dinyatakan positif corona,18.0,2020-03-03,02:52:50,muhammadsabari403,negative
3101,si pasien jepang sendiri yg kasih tau keteman indonesia tentang terinfeksi virus trus ngapain bilang terimakadsih ke pemerintahan malaysia,10.0,2020-03-03,03:28:35,hggbbnk4761,negative
3102,lu nyimak beritanya gak itu orang kerja di malaysia lalu 15 januari dia ke jepang abis itu dia ke indonesia lalu balik ke malaysia ainya malaysia yg gak bisa deteksi smpe org ini bisa lolos pergi ke jepang dan indonesia,7.0,2020-03-03,03:50:19,kudajingkrak4919,negative
3103,hggbbnk4761 temen wikwik,0.0,2020-03-03,05:01:19,berandalsingit7966,neutral
3104,tinggal nunggu kabar depok di blokir,0.0,2020-03-02,19:09:05,tinkywinky1104,neutral
3105,salam kenal teman teman kami dari sanggar indonesia membutuhkan bantuan kalian semua untuk dukung chanel ini semoga chanel ini juga bermanfaat salam lestari budaya indonesia,0.0,2020-03-02,19:04:35,sanggarindonesia1150,positive
3106,senjata china memang keren selain bisa bikin bom dan nuklir mereka bisa bikin virus mematikan,21.0,2020-03-02,19:04:23,ibnuuhuy7539,positive
3107,cintailah ploduk quot china,3.0,2020-03-02,23:16:40,paijo5903,positive
3108,rico lahhh hiv emg siapee yg bikin amerika cuk,0.0,2020-03-02,23:22:14,jordy696,negative
3109,rico salah satu senjata pemusnah masal paling mematikan selain senjata nuklir ya senjata bio contohnya virus,2.0,2020-03-02,23:24:12,jordy696,neutral
3110,kayanya bocor x senjata biologis mreka,1.0,2020-03-02,23:27:09,sosisceleng17,neutral
3111,moga ga menyebar seluruh indonesia ya allah kalo virus ini masuk ke para koruptor ya gpp,2.0,2020-03-02,23:39:36,namakuimron6829,positive
3112,aku jadi setuju sama pernyataan who kalau indonesia belom bisa mendeteksi dan mendiagnosa covid 19 ini dengan benar,759.0,2020-03-02,19:00:40,indonesiapride4085,positive
3113,malu gua sama negara ini ketahuan nya sama malaysia negara sebelah keliatan banget sistem indonesia sangat lemah yg ketahuan 1 yg ga ketahuan perjalanan penerbangan di indonesia jutaan dalam sebulan harus ada perubahan maju pecat menkes cari yg serius menanggapi musibah ini,99.0,2020-03-04,06:58:32,ardiansyahandika9157,neutral
3114,alatnya mahal katanya hahaha,17.0,2020-03-04,08:32:44,forzahorison6870,positive
3115,as it should,0.0,2020-03-04,08:56:47,suryaditaufan7285,neutral
3116,ardiansyahandika9157 di malaysia juga baru ketahuan setelah si jepang itu periksa di rs di bandara malaysia dia juga lolos soalnya belum demam,12.0,2020-03-04,09:52:15,kresno181,neutral
3117,ardiansyahandika9157 takut sama pnyakit virus to kamu takut lah sama yg di atas makanya berdoa sholat wudhu biar di jauhkan dari segala pnyakit main pecat quot aja orang virus corona juga gak berbahaya di luar dah bnyak yg smbuh di indonesia bnyk tumbuh quot an pnangkal pnyakit virus kok binggung kalo dah waktunya sakit mninggal ya udah udah takdir yg mnentukan allah,18.0,2020-03-04,10:50:34,muhamadarifchanel9302,negative
3118,sama2 berdoa aja kita buat semua rakyat indonesia supaya tidak menular ke yang lain amin,2.0,2020-03-02,19:00:21,hoseameykolse942,positive
3119,y,0.0,2022-08-23,16:52:33,ikrarlailatul3519,positive
3120,lindungi lah selalu kami tuhan,1.0,2020-03-02,18:59:40,hoseameykolse942,positive
3121,telah diberitakan di malaysia pada 28 02 2020 1 seorang wanita wn jepang berusia 41 tahun bekerja di malaysia 2 pada januari 2020 berada di jepang 3 pada februari 2020 dari jepang terus berkunjung ke indonesia 4 pada 17 februari 2020 sudah pulang dan berada di malaysia mulai rasa sakit2 dan dirawat di rumah sakit swasta malaysia 5 pada 20 februari 2020 ditahan di rumah sakit swasta malaysia utk pemeriksaan 6 pada 27 februari 2020 disahkan positif dan diisolasi di rumah sakit pemerintah malaysia,0.0,2020-03-02,18:57:07,pro_x999,neutral
3122,dan itu akan menjadi kenangan jangan terulang lagi,0.0,2023-03-29,17:57:03,Hazel-um9oc,negative
3123,smoga cpt sembuh,0.0,2020-03-02,18:57:05,JeparaMebel,positive
3124,ya kan bener yg terinfeksi virus ini dari wn jepang yg tinggal di malaysia yg udh terinfeksi trs dia ke indonesia udh ku bilang kalo mau aman ya tutuplah rute penerbangan dari dan ke negara yg udh terinfeksi meskipun memang merugikan ekonomi tp bukankah keselamatan itu prioritas utama ekonomi masih bisa dicari tp kalo menyangkut nyawa manusia ga bisa digantikan,1.0,2020-03-02,18:56:52,vanessaniko9755,negative
3125,jangan2 itu yg positip corona itu byanyakkkk lebih dp dua wni itu tp tidak berani ke dokter tp berobat traditionil dw dw,1.0,2020-03-02,18:56:21,elilisa2980,negative
3126,di malaysia suspected langsung karantina uji lab di indo suspected coba di komix aja si mentri ketawa ketiwi padahal di negara lain langsung sterilisasi dan disinfektan area kontak,1.0,2020-03-02,18:55:30,MrBangone28,neutral
3127,bangone bro emg mentri gemblung mlh cengar cengir ngremehin n sombong gilak sih,1.0,2020-03-02,20:45:56,lndryareva7685,negative
3128,mudah mudahan corona cukup merebak di dki dan tempat sarang kadrun biar bisa ngurangi populasi kadrun yg hoby jual ayat dan mayat,0.0,2020-03-02,18:54:44,jeplas_jeplosaku876,positive
3129,yang gebleg ya rs mitra keluarga depok kaga punya kecurigaan sama sekali dasar,0.0,2020-03-02,18:54:06,sabrinanova949,neutral
3130,brengsek emang orang jepang kaga dulu kaga sekarang kerjanya nyusahin orang mulu,1.0,2020-03-02,18:53:52,dionarlianto,negative
3131,pemerintah harus melakukan tes kesehatan ke seeluruh penduduk indonesia melalui tingkat kelurahan dan,0.0,2020-03-02,18:46:48,pejuangnafkah1671,neutral
3132,dokter yg nanganin di rs yg menyatakan bronchitis kemungkinan ketularan jg trus dia pegang2 pasien lain di rs wah banyaak,0.0,2020-03-02,18:46:22,bobidoll5259,neutral
3133,yg kena corona mohonn di tanyakan lebih tegas lagi pas waktu lg pesta dansa kan otomatis bnyak orang pemerinta umumin siapa aj yg prna ke kafe itu mohon suru dateng buat di tes berjaga2 aj lebi baik minta data2 yg ada di kafe itu di priksa satu2 jangan nunggu ada yg sakit sehat pun di tes aj krena kkan corona menular ada yg trlihat menandakan gejaala n nggak penandakan apa2 ootomatis logika y di pesta itu hbis dansa sama jepang kan secara pesta bnyak orang maungkin stela acara kelar ada jabat tangan dg warga indonesia lain kan bisa jdi cipika cipiki kan bisa jdi trsenggol tak sengaja kan bisa jdi memegang pintu toilet kan bisa jdi logika saya si krena korona di benda mati pun biisa kena tular,0.0,2020-03-02,18:43:17,arelasyrif5399,neutral
3134,kalau hy dansa teular pasti yg kena rame pasti si jepang dan si indo ciuman dan lain2,6.0,2020-03-02,18:40:41,iwanabu6404,neutral
3135,sepemikiran,0.0,2020-03-04,07:53:26,ramadhaneko5194,positive
3136,yoi bro,0.0,2020-03-04,11:21:21,erynugraha6,positive
3137,ahhh elah japan slain nyebarin virus jav skrg mlh virus korona,0.0,2020-03-02,18:39:11,romyktb2666,neutral
3138,musim nya lagi begini lagi jadinya nyaru kalo ada yg masuk angin atau batuk pilek biasa,1.0,2020-03-02,18:34:59,akbarnurhisyam3314,neutral
3139,intinya banyak dokter di 62 yang belum bisa mendiagnosa virus corona kalo dilihat dari kronologi dan lamanya waktu pasti banyak yg sudah teular,0.0,2020-03-02,18:34:16,anggasniper,positive
3140,waw rs nya kecolongan team petugas rs nya juga harus di cek tuh saya pun meragukan kemampuan tenaga kesehatan di indonesia,4.0,2020-03-02,18:33:50,fitriaapriliyanti4534,neutral
3141,saya harap berhentilah saling menyalahkan orang lain sebaiknya kita hrs memikirkan bagaimana kita hrs mencegah ini semua jika kita selalu menyalahkan tim medis kalo kita terkena virus tsb siapa yg akan membantu kita utk merawat kita yg terkena virus tsb ingat manusia tdk ada yg sempurna kesempurnaan hanya milik allah swt kita sdng diuji sebaiknya kita justru hrs bersatu utk melawan virus tsb bukannya hrs slng menyalahkan pemerintah atau tim medis pemerintah dan tim medis sdh berusaha semaksimal mungkin tp kita hanya manusia selalu ada keteledorannya manusia selalu ada banyak salahnya teman2,1.0,2020-03-03,01:46:34,ainuufire6396,positive
3142,ya sdh tdk apa2 mba mb y klo meragukan nakes indonesia berobat aja dluar negeri gk perlu jd anggota bpjs jg gk perlu jg pke assuransi lain yg rujukan y d indonesia kami para nakes sdh dan selalu brusaha smaksimal mgkin dan jg selalu meng update ilmu kesehatan tp toh ad saja slah satu org spi mb yg mragukn,0.0,2020-03-03,10:14:51,ritnanaendlyani1002,negative
3143,berdoa di sosmed emang allah maen sosmed takut ada corona sedangkan maksiat dimna2 trus berdoa di sosmed agar terhindar dari corona situ sehat,2.0,2020-03-02,18:28:43,adammovic6809,positive
3144,tul,0.0,2020-03-02,19:28:16,jalanpintas9773,neutral
3145,mantul,0.0,2020-03-03,08:58:09,bouxharnor2940,positive
3146,kekhawatiran who sudah terjawab sudah,0.0,2020-03-02,18:27:12,arifsultansyah1830,positive
3147,depok lagi depok lagi cape gue denger depok,0.0,2020-03-02,18:25:15,dhikasrsuryaramdhan9150,negative
3148,ini ancamannya kalo indonesia terlalu mengabaikan dan tidak memperketat masuknya virus corona dapet di identifikasipun dari negara lain bukan karena penjagaannya al hasil ketika sudah masuk ke indonesia akan kesusahan menangani semuanya apalagi udah 15 hari tgl di indo pasti udah kontak dgn yg lain ada kemungkinan bisa menyebar,0.0,2020-03-02,18:24:55,fahrulakustikuy3758,positive
3149,coba kasih minum air zam zam sipatau pirus nyah mati aminnn,5.0,2020-03-02,18:13:26,atis_sahsweet8389,negative
3150,berapa manusia yang kontak interaksi langsung sama korban selama 14hari itu,0.0,2020-03-02,18:08:41,yudhautama8710,positive
3151,lahhhhhh terus 2 warga depok ini melakukan kontak dngan siapa saja nahhhh lohhhh,0.0,2020-03-02,18:04:35,aguswijaya49,negative
3152,sekali lg sebagai docter dan front line harus lebih memahani gejala dan berpikir sigap dan kritis karena proses penularannya sangat cepet mohon kesiap siagan para instansi yg berkaitan,2.0,2020-03-02,18:04:15,zhara1914,positive
3153,mana perjalanan record nya dr bandara naek apa trus nginap dimana berapa hari di jakas kemana saja perginya blm diketahui hati2 terkadang virus corona bisa saja tidak timbul reaksi tahu2 kritis,0.0,2020-03-02,18:03:32,aryosutopo412,negative
3154,mantap makan tu corona jgn bilang indo jauh dari corona,1.0,2020-03-02,17:55:35,rahmatrezeky4155,neutral
3155,negara lain ragu terhadap dokter2 imdonesia yg menduga tdk punya kemampuan mendeteksi corona quot perlu belajar banyak untuk khusus dokter2 indonesia quot,12.0,2020-03-02,17:51:19,alfatiharis4802,positive
3156,indonesia mah santuy parah si orang sakit parah di kira demam wkwkw,1.0,2020-03-03,05:18:00,hilalfadli7722,negative
3157,tau sendirilah kedokteran indo kl gk bawa duit ya biarpun sekarat didiemin tu pasien,0.0,2020-03-04,14:28:14,wawandoang9812,neutral
3158,pemerintah seharus nya tegas tutup semuanya penerbangam udara dan darat demi mencegahnya virus corona klu sdh begini yg kena dapmpaknya rakyat kecil,0.0,2020-03-02,17:49:56,desirupiani6112,negative
3159,15 hari kontak dengan korona berapakah yg teular,1.0,2020-03-02,17:49:46,husnidellavega3505,positive
3160,,0.0,2020-03-03,01:17:29,syaipulanwar2234,positive
3161,hai saudaraku orang islam di indonesia kalian jangan panik ketika mengetahui ada 2 orang di indonesia yang positip kena virus corona mereka berdua yang kena virus corona itu orang kafir kita orang islam insya allah tidak akan kena jika kita mau berdo 39 a kepada allah,1.0,2020-03-02,17:49:44,herohero3113,positive
3162,kemana ni yg sering koar2 tentang azab koq gk ada suaranya kalo sudah begini apas masih mau bilang kena azab,0.0,2020-03-02,17:49:01,kicauburungmudahhutan9852,negative
3163,tolong di setiap kota kabupaten di indonesia disediakan rumah sakit khusus pemeriksaan virus corona dan bagi warga negara indonesia dengan kesadaran diri apabila mendapati sakit batuk demam dll bisa di cek atau diperiksakan ke rumah sakit tersebut guna mencegah tersebar nya virus itu ke lain daerah catatan pemeriksaan gratisss,1.0,2020-03-02,17:46:31,radytdhieta9390,negative
3164,nah lo kemaren pada nyinyir cina sekarang negara kita ketularan pada minta2 tolong dilindungi di jauhkan yaelah netizen indo mah emang gitu hahaha,0.0,2020-03-02,17:45:45,Fallennoises,negative
